azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
33.2,1.3501,9.720,985.8,-23.36093,-46.43030
33.3,1.3359,9.700,982.9,-23.36116,-46.43027
33.4,1.3123,9.700,978.9,-23.36124,-46.43013
33.5,1.2911,9.700,975.3,-23.36133,-46.42999
33.6,1.2860,9.580,971.6,-23.36231,-46.43050
33.7,1.2750,9.560,969.3,-23.36255,-46.43048
33.8,1.2598,9.560,966.7,-23.36263,-46.43034
33.9,1.2485,9.560,964.9,-23.36271,-46.43020
34.0,1.2397,9.340,958.3,-23.36444,-46.43127
34.1,1.2390,9.520,962.4,-23.36318,-46.43015
34.2,1.2492,9.520,964.1,-23.36326,-46.43002
34.3,1.2573,9.500,964.9,-23.36350,-46.42999
34.4,1.2507,9.560,965.2,-23.36313,-46.42953
34.5,1.2394,9.560,963.3,-23.36322,-46.42939
34.6,1.2193,9.560,960.0,-23.36330,-46.42926
34.7,1.1868,9.580,955.0,-23.36324,-46.42901
34.8,1.1772,21.860,1232.2,-23.27250,-46.36022
34.9,1.1998,21.840,1240.3,-23.27284,-46.36003
35.0,1.2041,21.840,1242.0,-23.27304,-46.35972
35.1,1.1974,21.940,1241.8,-23.27250,-46.35885
35.2,1.2138,21.960,1248.6,-23.27255,-46.35843
35.3,1.2273,21.960,1253.8,-23.27275,-46.35812
35.4,1.2264,21.980,1253.9,-23.27280,-46.35770
35.5,1.2162,22.020,1250.9,-23.27271,-46.35717
35.6,1.2285,22.040,1256.2,-23.27276,-46.35675
35.7,1.2292,22.060,1256.9,-23.27282,-46.35633
35.8,1.2168,22.100,1253.1,-23.27273,-46.35579
35.9,1.1966,22.120,1245.8,-23.27278,-46.35537
36.0,1.1807,16.480,1108.5,-23.31409,-46.38753
36.1,1.1966,16.460,1112.6,-23.31439,-46.38742
36.2,1.1889,16.460,1110.4,-23.31454,-46.38719
36.3,1.1606,16.440,1101.8,-23.31484,-46.38708
36.4,1.1334,16.440,1094.0,-23.31499,-46.38685
36.5,1.1021,16.440,1085.0,-23.31515,-46.38662
36.6,1.0626,16.440,1073.7,-23.31530,-46.38640
36.7,1.0340,22.400,1188.9,-23.27241,-46.35129
36.8,1.0356,22.380,1189.1,-23.27276,-46.35110
36.9,1.0281,22.380,1186.2,-23.27297,-46.35080
37.0,1.0175,22.360,1181.6,-23.27333,-46.35061
37.1,0.9890,22.340,1170.1,-23.27368,-46.35042
37.2,0.9589,22.340,1158.3,-23.27389,-46.35012
37.3,0.9254,22.340,1145.3,-23.27410,-46.34981
37.4,0.9452,22.240,1151.0,-23.27503,-46.35010
37.5,0.9395,22.240,1148.8,-23.27525,-46.34980
37.6,0.9176,16.160,1027.0,-23.31886,-46.38583
37.7,0.9054,16.180,1023.9,-23.31887,-46.38549
37.8,0.8974,15.900,1016.6,-23.32102,-46.38695
37.9,0.8968,15.820,1015.0,-23.32174,-46.38722
38.0,0.8991,15.820,1015.6,-23.32189,-46.38700
38.1,0.8913,15.840,1013.9,-23.32190,-46.38667
38.2,0.8733,6.240,848.0,-23.39001,-46.44464
38.3,0.8600,6.240,846.6,-23.39007,-46.44456
38.4,0.8516,6.240,845.7,-23.39013,-46.44448
38.5,0.8485,6.240,845.3,-23.39019,-46.44439
38.6,0.8496,6.240,845.4,-23.39025,-46.44431
38.7,0.8343,6.260,844.1,-23.39017,-46.44410
38.8,0.8275,6.260,843.3,-23.39024,-46.44402
38.9,0.8112,6.260,841.6,-23.39030,-46.44394
39.0,0.7646,6.280,836.8,-23.39022,-46.44373
39.1,0.7395,6.280,834.0,-23.39028,-46.44365
39.2,0.7265,6.300,832.8,-23.39020,-46.44344
39.3,0.7200,6.300,832.1,-23.39027,-46.44336
39.4,0.7208,15.840,966.7,-23.32393,-46.38392
39.5,0.7281,15.820,968.4,-23.32423,-46.38383
39.6,0.7328,15.820,969.7,-23.32438,-46.38362
39.7,0.7342,15.880,971.0,-23.32413,-46.38304
39.8,0.7293,15.900,969.9,-23.32415,-46.38271
39.9,0.7092,15.920,964.7,-23.32417,-46.38237
40.0,0.6897,15.920,959.2,-23.32433,-46.38216
40.1,0.6771,15.920,955.7,-23.32449,-46.38195
40.2,0.6765,15.920,955.6,-23.32465,-46.38175
40.3,0.6804,15.940,956.9,-23.32468,-46.38141
40.4,0.6771,15.960,956.3,-23.32470,-46.38108
40.5,0.6616,15.980,952.2,-23.32473,-46.38074
40.6,0.6675,16.040,954.7,-23.32448,-46.38015
40.7,0.6837,16.040,959.3,-23.32464,-46.37994
40.8,0.6931,16.060,962.2,-23.32467,-46.37961
40.9,0.6979,16.080,963.8,-23.32470,-46.37927
41.0,0.7031,16.080,965.3,-23.32486,-46.37906
41.1,0.7145,16.060,968.2,-23.32517,-46.37898
41.2,0.7292,16.080,972.6,-23.32520,-46.37865
41.3,0.7488,16.080,978.1,-23.32536,-46.37844
41.4,0.7750,16.080,985.5,-23.32553,-46.37823
41.5,0.8028,16.100,993.6,-23.32556,-46.37790
41.6,0.8389,16.120,1004.1,-23.32559,-46.37756
41.7,0.8669,16.100,1011.6,-23.32590,-46.37748
41.8,0.8916,15.760,1012.5,-23.32835,-46.37950
41.9,0.9122,15.660,1016.4,-23.32919,-46.37995
42.0,0.9144,15.580,1015.5,-23.32989,-46.38028
42.1,0.9387,15.560,1021.8,-23.33018,-46.38021
42.2,0.9510,15.560,1025.1,-23.33035,-46.38001
42.3,0.9566,15.560,1026.6,-23.33051,-46.37982
42.4,0.9610,15.560,1027.8,-23.33068,-46.37962
42.5,0.9794,15.560,1032.8,-23.33084,-46.37942
42.6,0.9824,15.560,1033.6,-23.33101,-46.37923
42.7,0.9947,15.560,1037.0,-23.33117,-46.37903
42.8,1.0147,15.560,1042.4,-23.33134,-46.37883
42.9,1.0415,15.560,1049.7,-23.33150,-46.37864
43.0,1.0692,15.560,1057.2,-23.33167,-46.37844
43.1,1.0763,15.540,1058.7,-23.33197,-46.37838
43.2,1.0620,15.520,1054.4,-23.33227,-46.37832
43.3,1.0419,15.520,1049.0,-23.33243,-46.37813
43.4,1.0357,12.320,983.4,-23.35355,-46.39948
43.5,1.0397,12.320,984.2,-23.35368,-46.39933
43.6,1.0494,12.320,986.3,-23.35381,-46.39918
43.7,1.0508,15.540,1051.8,-23.33297,-46.37722
43.8,1.0705,15.560,1057.6,-23.33301,-46.37689
43.9,1.0848,15.560,1061.5,-23.33318,-46.37670
44.0,1.0930,15.560,1063.7,-23.33335,-46.37651
44.1,1.0795,15.560,1060.0,-23.33352,-46.37632
44.2,1.0611,15.560,1055.0,-23.33369,-46.37613
44.3,1.0430,15.540,1049.7,-23.33399,-46.37607
44.4,1.0272,15.540,1045.4,-23.33416,-46.37588
44.5,0.9988,15.520,1037.3,-23.33446,-46.37583
44.6,0.9620,15.520,1027.3,-23.33463,-46.37564
44.7,0.9355,12.160,958.9,-23.35632,-46.39861
44.8,0.9257,12.520,963.3,-23.35415,-46.39598
44.9,0.9340,12.540,965.4,-23.35417,-46.39569
45.0,0.9324,12.540,965.1,-23.35430,-46.39554
45.1,0.9337,12.540,965.4,-23.35444,-46.39539
45.2,0.9322,12.540,965.1,-23.35458,-46.39523
45.3,0.9314,12.540,964.9,-23.35472,-46.39508
45.4,0.9202,12.520,962.1,-23.35499,-46.39507
45.5,0.9134,14.900,1003.0,-23.34010,-46.37828
